pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-150,z,0,0,0,0,,,,,0.013487000003806315,,0.009168600008706562,0.013487000003806315,1.0071130000142148,1.0071130000142148,1.0071130000142148,1.0071130000142148,1.023916600010125,2.006935400000657,2.006935400000657,2.6053119000134757,z,1,0.43536699999822304,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
-50,x,0,1,1,1,,,,,2.6092085000127554,,2.6060679000074742,2.6092085000127554,3.6066790000040783,3.6066790000040783,3.6066790000040783,3.6066790000040783,3.6235216000059154,4.606616000004578,4.606616000004578,5.158350200013956,x,1,0.5499335999920731,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
50,c,0,2,2,2,,,,,5.173298700014129,,5.159771000006003,5.173298700014129,6.17312460001267,6.17312460001267,6.17312460001267,6.17312460001267,6.17312460001267,7.1723485000111395,7.1723485000111395,7.574568400013959,c,1,0.38846960000228137,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
150,v,0,3,3,3,,,,,7.58918850000191,,7.576348100003088,7.58918850000191,8.588865800003987,8.588865800003987,8.588865800003987,8.588865800003987,8.588865800003987,9.588990300006117,9.588990300006117,9.906951400000253,v,1,0.30954170000040904,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
-150,z,1,0,4,0,,,,,9.922956200010958,,9.90866570000071,9.922956200010958,10.921771700013778,10.921771700013778,10.921771700013778,10.921771700013778,10.938532900006976,11.921641100008856,11.921641100008856,12.25578220000898,z,1,0.3283759000041755,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
-50,x,1,1,5,1,,,,,12.271818799999892,,12.25649680000788,12.271818799999892,13.271383800005424,13.271383800005424,13.271383800005424,13.271383800005424,13.271383800005424,14.271249800003716,14.271249800003716,14.538758200011216,x,1,0.2601237999915611,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
50,c,1,2,6,2,,,,,14.554451400006656,,14.540181500007748,14.554451400006656,15.554017100002966,15.554017100002966,15.554017100002966,15.554017100002966,15.554017100002966,16.558553100010613,16.558553100010613,17.14011210000899,c,1,0.5766825000027893,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
150,v,1,3,7,3,,,,,17.153999100002693,,17.141700800013496,17.153999100002693,18.15461480000522,18.15461480000522,18.15461480000522,18.15461480000522,18.15461480000522,19.153428500008886,19.153428500008886,19.471034700007294,v,1,0.30670040000404697,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
-150,z,2,0,8,0,,,,,19.486574500013376,,19.47152370000549,19.486574500013376,20.48630050000793,20.48630050000793,20.48630050000793,20.48630050000793,20.48630050000793,21.486125600000378,21.486125600000378,22.287438800005475,z,1,0.7844067999976687,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
-50,x,2,1,9,1,,,,,22.302837600000203,,22.288352700008545,22.302837600000203,23.302424700013944,23.302424700013944,23.302424700013944,23.302424700013944,23.302424700013944,24.302404100002605,24.302404100002605,25.169369200011715,x,1,0.8630681999929948,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
